Unnamed: 0,번호,제목,저자,출판사,출판일
,1,A Holistic View of Big Data,"Kim, Won",IGI Global,2014
,2,A Big Data-Driven Business Data Analysis System: Applications of Artificial Intelligence Techniques in Problem Solving,김동근,사)한국빅데이터학회,2023
,3,IoT-Based Health Big-Data Process Technologies: A Survey = IoT-Based Health Big-Data Process Technologies: A Survey,( Hyun Yoo ),한국인터넷정보학회,2021
,4,Big-Data Analysis for Manufacturing Processes of Medium Density Fiberboard Production = Big-Data Analysis for Manufacturing Processes of Medium Density Fiberboard Production,( Seongsu Park ),한국목재공학회,2021
,5,Analysis of Big-Data from Manufacturing Processes of Medium Density Fiberboard Production = Analysis of Big-Data from Manufacturing Processes of Medium Density Fiberboard Production,( Seongsu Park ),한국목재공학회,2022
,6,Big-data Analytics: Exploring the Well-being Trend in South Korea Through Inductive Reasoning = Big-data Analytics: Exploring the Well-being Trend in South Korea Through Inductive Reasoning,( Younghan Lee ),한국인터넷정보학회,2021
,7,빅데이터(Big-data)에 나타난 감성 분석 = Autocorrelation Analysis of the Sentiment with Stock Information Appearing on Big-Data,이득환 ( Deuk Hwan Lee ),한국금융공학회,2013
,8,"Big-Data Meta Analysis in the Last Quarter Century of Mass Communication Research : Four Subfields of PR, Journalism, Political communication, and Advertising = Big-Data Meta Analysis in the Last Quarter Century of Mass Communication Research : Four Subfields of PR, Journalism, Political communication, and Advertising",김선우,한국PR학회,2021
,9,Almighty Google knows everything! - big-data and network science = Almighty Google knows everything! - big-data and network science,정하웅 ( Hawoong Jeong ),대한피부과학회,2019
,10,빅테이터(Big Data) 융합예술의 세계적 양상과 전망분석 = Global Tendencies and Prospects of the Big Data Convergence Art,태혜신,한국무용과학회,2023
,11,The Limitations on the Use of Big Data Pursuant to Data Privacy Regulations in Korea = The Limitations on the Use of Big Data Pursuant to Data Privacy Regulations in Korea,( Jeong Yeol Choe ),서울대학교 아시아태평양법연구소,2017
,12,AI와 Big Data 쟁점 분석 및 교육정치학의 발전 과제 = An Analysis of Future Tasks of Political Education and Issues of AI (&amp; Big Data),"박선형(Park, Sun-Hyung)",한국교육정치학회,2021
,13,"클라우드 환경에서 정량적, 정성적 Big Data를 활용한 공급사슬관리 = Supply Chain Management Using Quantitative and Qualitative Big Data in Cloud Environments",심승배,엘지씨엔에스,2012
,14,Business Intelligence and Marketing Insights in an Era of Big Data: The Q-sorting Approach = Business Intelligence and Marketing Insights in an Era of Big Data: The Q-sorting Approach,( Ki Youn Kim ),한국인터넷정보학회,2014
,15,Big Data의 활용을 위한 새로운 Six Sigma 프로젝트 실행 방법 = New Six Sigma Breakthrough using Big Data,고승곤,피터드러커 소사이어티,2019
,16,특집 2 : 개인정보 보호와 이용자 권리 ; 기업의 빅데이터(Big Data) 활용과 개인정보의 보호의 조화 = Special Lssue 2: Data Protection and User`s Rights : Big Data and Personal Information Protection,곽관훈 ( Kwan Hoon Kwak ),건국대학교 법학연구소,2014
,17,Does Big Data Matter to Value Creation? = Does Big Data Matter to Value Creation? : Based on Oracle Solution Case,김용희(Yonghee Kim),한국IT서비스학회,2012
,18,"Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014) = Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014)",( Seung Ryul Jeong ),한국인터넷정보학회,2014
,19,A Keyword-Based Big Data Analysis for Individualized Health Activity: Focusing on Methodological Approach = A Keyword-Based Big Data Analysis for Individualized Health Activity: Focusing on Methodological Approach,김한별 ( Han-byul Kim ),한국정보처리학회,2017
,20,Optimization Driven MapReduce Framework for Indexing and Retrieval of Big Data = Optimization Driven MapReduce Framework for Indexing and Retrieval of Big Data,( Hemn Barzan Abdalla ),한국인터넷정보학회,2020
,21,국내 금융기관의 빅 데이터(Big Data)활용 사례에 관한 연구 = A Case Study on the Use of Big Data in the Korean Financial Institutions,서민교(Min Kyo Seo),중앙대학교 한국전자무역연구소,2013
,22,Hadoop Based Wavelet Histogram for Big Data in Cloud = Hadoop Based Wavelet Histogram for Big Data in Cloud,( Jeong-joon Kim ),한국정보처리학회,2017
,23,빅 데이터 (Big Data)의 공법적 재조명 = A Research For Big Data In Public Law,"박민영(Park, Min-Young)",성균관대학교 법학연구소,2014
,24,유통업 Big Data를 이용한 고객 행태 분석에 대한 연구 = study on the customer behavior analysis using Big data from Distribution industry,서현지(Hyeon Ji Seo),피터드러커 소사이어티,2020
,25,A Survey of Homomorphic Encryption for Outsourced Big Data Computation = A Survey of Homomorphic Encryption for Outsourced Big Data Computation,( Tan Soo Fun ),한국인터넷정보학회,2016
,26,Data-driven Modeling and Service based on Big Data Analytics and Perception Process = Data-driven Modeling and Service based on Big Data Analytics and Perception Process,( Wooyung Lee ),서울대학교 인지과학연구소,2017
,27,Market Trend Analysis of Cosmetics Products U sing Big Data: Focused on AMOREPACIFIC = Market Trend Analysis of Cosmetics Products U sing Big Data: Focused on AMOREPACIFIC,( Xiaoming Xu ),한국유통경영학회,2021
,28,효과적인 디스플레이 제조를 위한 AI/BIG DATA 기반 스마트 팩토리 기술 현황 분석 = AI/BIG DATA-based Smart Factory Technology Status Analysis for Effective Display Manufacturing,정석원,한국정보통신학회,2021
,29,DTG Big Data Analysis for Fuel Consumption Estimation = DTG Big Data Analysis for Fuel Consumption Estimation,( Wonhee Cho ),한국정보처리학회,2017
,30,Performance Evaluation and Analysis of Multiple Scenarios of Big Data Stream Computing on Storm Platform = Performance Evaluation and Analysis of Multiple Scenarios of Big Data Stream Computing on Storm Platform,( Dawei Sun ),한국인터넷정보학회,2018
,31,Self-organization Scheme of WSNs with Mobile Sensors and Mobile Multiple Sinks for Big Data Computing = Self-organization Scheme of WSNs with Mobile Sensors and Mobile Multiple Sinks for Big Data Computing,( Ahreum Shin ),한국인터넷정보학회,2020
,32,디지털 광고 효과 향상을 위한 Big Data 기반의 목표 그룹 세분화에 대한 연구 = A study on Target Audience Segmentation based on Big Data for enhancing the effects of digital advertising,박현진(Hyeon Jin Park),피터드러커 소사이어티,2020
,33,Sequential Pattern Mining for Intrusion Detection System with Feature Selection on Big Data = Sequential Pattern Mining for Intrusion Detection System with Feature Selection on Big Data,( Fidalcastro. A ),한국인터넷정보학회,2017
,34,Big data를 이용한실시간 SOC 구조물 거동분석 시스템 연구 = A Study on Real-Time SOC Structure Behavior Evaluation System using Big Data,최정열,국제문화기술진흥원,2023
,35,An Automatic Urban Function District Division Method Based on Big Data Analysis of POI = An Automatic Urban Function District Division Method Based on Big Data Analysis of POI,( Hao Guo ),한국정보처리학회,2021
,36,"Prediction Model for Chronic Obstructive Pulmonary Disease Exacerbation, Based on Big Data Analysis and Machine Learning = Prediction Model for Chronic Obstructive Pulmonary Disease Exacerbation, Based on Big Data Analysis and Machine Learning",( Chin Kook Rhee ),대한결핵 및 호흡기학회,2020
