type,quality,cluster
red,5,5
red,5,5
red,5,5
red,6,3
red,5,5
red,5,5
red,5,5
red,7,5
red,7,5
red,5,5
red,5,5
red,5,5
red,5,5
red,5,3
red,5,3
red,5,3
red,7,3
red,5,3
red,4,5
red,6,3
red,6,3
red,5,5
red,5,3
red,5,5
red,6,5
red,5,5
red,5,5
red,5,3
red,5,5
red,6,5
red,5,5
red,6,5
red,5,5
red,6,5
red,5,5
red,6,5
red,6,5
red,7,3
red,4,5
red,5,3
red,5,3
red,4,5
red,6,3
red,5,3
red,5,5
red,4,5
red,5,5
red,5,3
red,5,5
red,5,2
red,5,5
red,6,5
red,6,5
red,5,0
red,6,5
red,5,5
red,5,3
red,5,5
red,5,5
red,6,5
red,5,3
red,5,3
red,7,5
red,5,5
red,5,5
red,5,5
red,5,5
red,5,5
red,5,3
red,6,5
red,6,5
red,5,5
red,5,5
red,4,5
red,5,3
red,5,3
red,5,3
red,6,5
red,5,5
red,4,3
red,5,5
red,5,3
red,5,5
red,5,3
red,6,2
red,5,5
red,6,3
red,5,5
red,5,3
red,5,5
red,5,5
red,6,3
red,5,3
red,5,5
red,4,5
red,6,5
red,5,5
red,5,5
red,5,5
red,6,5
red,6,5
red,6,5
red,6,5
red,5,5
red,5,5
red,5,5
red,5,3
red,5,5
red,6,3
red,5,3
red,5,5
red,5,5
red,5,5
red,6,3
red,5,5
red,6,3
red,6,5
red,6,5
red,6,5
red,6,5
red,5,5
red,6,5
red,5,5
red,5,5
red,5,5
red,5,5
red,5,5
red,5,5
red,7,5
red,5,5
red,5,3
red,5,5
red,5,5
red,6,5
red,6,5
red,5,5
red,5,5
red,5,5
red,5,5
red,5,5
red,5,5
red,5,5
red,6,4
red,5,5
red,6,4
red,5,3
red,5,5
red,5,3
red,6,5
red,6,3
red,6,3
red,4,3
red,5,5
red,5,5
red,5,2
red,5,2
red,5,2
red,5,2
red,5,5
red,6,5
red,5,5
red,4,5
red,6,5
red,5,5
red,5,5
red,5,3
red,5,5
red,4,5
red,6,5
red,5,3
red,4,5
red,6,5
red,6,5
red,6,5
red,5,5
red,5,5
red,5,5
red,6,5
red,5,5
red,5,5
red,5,5
red,5,3
red,5,5
red,5,5
red,6,5
red,5,3
red,5,3
red,5,5
red,5,0
red,5,0
red,5,5
red,6,5
red,5,5
red,5,5
red,5,5
red,5,5
red,5,5
red,6,3
red,7,5
red,4,5
red,7,3
red,5,3
red,5,5
red,5,5
red,6,5
red,7,3
red,7,3
red,5,5
red,5,5
red,7,3
red,6,3
red,6,5
red,6,3
red,5,5
red,6,5
red,5,2
red,5,5
red,5,5
red,5,5
red,5,5
red,6,5
red,5,5
red,5,5
red,6,5
red,4,5
red,6,5
red,6,3
red,5,5
red,6,5
red,5,5
red,7,5
red,6,5
red,6,5
red,5,5
red,6,5
red,6,5
red,6,5
red,6,5
red,6,5
red,6,5
red,5,3
red,6,3
red,6,5
red,7,3
red,7,3
red,6,5
red,5,5
red,5,5
red,6,5
red,6,5
red,6,3
red,6,5
red,5,3
red,5,5
red,6,5
red,5,5
red,5,3
red,5,5
red,5,3
red,7,3
red,5,5
red,4,5
red,5,5
red,5,5
red,5,3
red,7,3
red,4,5
red,8,3
red,6,5
red,6,3
red,6,5
red,6,3
red,5,3
red,5,5
red,5,5
red,6,5
red,6,5
red,6,3
red,8,3
red,7,3
red,6,3
red,7,3
red,5,5
red,7,3
red,5,5
red,5,5
red,6,3
red,6,5
red,7,5
red,5,3
red,7,5
red,5,3
red,6,3
red,6,5
red,6,3
red,5,3
red,5,3
red,5,5
red,5,5
red,5,5
red,6,5
red,6,3
red,5,5
red,5,5
red,5,3
red,6,3
red,5,5
red,6,3
red,6,3
red,6,5
red,6,3
red,6,5
red,6,3
red,5,5
red,5,5
red,6,5
red,5,3
red,6,5
red,7,3
red,6,5
red,7,3
